fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P49146_pKi	0.680349	0.678491	0.721871	0.721871	0.540643	0.657658	0.540917	0.678886	0.688333	0.729819	0.687994	0.687994	0.48268	0.589501	0.706696	0.706696
P49356_pIC50	0.780126	0.763841	0.735113	0.771051	0.747342	0.745967	0.726543	0.736507	0.760753	0.735043	0.735771	0.742888	0.736621	0.748045	0.731471	0.762211
P50281_pKi	0.762832	0.762832	0.811333	0.796333	0.764001	0.762001	0.728334	0.779001	0.757666	0.754001	0.679834	0.7845	0.726667	0.763333	0.790333	0.78
P51452_pIC50	0.613578	0.649516	0.56572	0.634621	0.626956	0.65183	0.525332	0.585132	0.637055	0.655992	0.629665	0.616935	0.654179	0.657468	0.572246	0.626992
P51582_pEC50	0.647084	0.647084	0.644084	0.644084	0.545	0.600334	0.53225	0.53225	0.553249	0.555	0.489417	0.550999	NA	0.5	NA	0.5
P51679_pIC50	0.764546	0.764546	0.783501	0.784092	0.719456	0.778592	0.72	0.774955	0.76809	0.76218	0.765817	0.790775	0.698728	0.786819	0.741683	0.790183
P51955_pIC50	0.788749	0.72575	0.780167	0.771667	0.788916	0.748417	0.781417	0.745166	0.759583	0.762916	0.635083	0.796668	0.7505	0.747	0.734001	0.721835
P52732_pIC50	0.73915	0.747355	0.742613	0.75192	0.765872	0.748246	0.742797	0.742913	0.745015	0.745833	0.740252	0.745591	0.760014	0.765473	0.735359	0.742291
P53779_pIC50	0.811688	0.818299	0.821786	0.812891	0.804032	0.808317	0.812988	0.824312	0.81399	0.82249	0.821956	0.82275	0.824678	0.835774	0.80226	0.821801
P55263_pIC50	0.898238	0.898238	0.89594	0.893489	0.89128	0.885856	0.89594	0.887368	0.871217	0.871217	0.892324	0.884879	0.826036	0.810751	0.834177	0.813456
P56817_pIC50	0.815594	0.827119	0.777463	0.780517	0.824861	0.829889	0.772544	0.775904	0.825958	0.834563	0.774509	0.777372	0.806445	0.831063	0.756811	0.783541
P78536_pKi	0.664979	0.672487	0.60299	0.651346	0.506433	0.684893	0.5	0.5	0.683798	0.690065	0.659466	0.677152	0.631688	0.618795	0.604899	0.570926
Q02083_pIC50	0.756249	0.734833	0.696168	0.70775	0.62233	0.6355	0.62233	0.65175	0.657334	0.744585	0.658416	0.69	0.521584	0.732583	0.523916	0.589
Q02127_pIC50	0.775709	0.761279	0.796776	0.767038	0.799394	0.800407	0.808658	0.770215	0.760748	0.760735	0.760533	0.761202	0.741898	0.775257	0.747476	0.751166
